Title,Type,BodyPart,Level,Time,Sets,B_Reps,I_Reps
Knee-in to V-out,Strength,Core,Intermediate,3,3,10,20
Bear crawl push-up,Strength,Core,Intermediate,3,3,10,20
FYR Front Step,Strength,Core,Intermediate,3,3,10,20
Plank reach,Strength,Core,Intermediate,3,3,10,20
Eiffel Tower leg raise,Strength,Core,Intermediate,3,3,10,20
Straight-arm plank,Strength,Core,Intermediate,3,3,10,20
Plank up-down,Strength,Core,Intermediate,1,1,30,60
Frog kick,Strength,Core,Intermediate,3,3,10,20
FYR Knees to Chest,Strength,Core,Intermediate,3,3,10,20
Front kick-through,Strength,Core,Intermediate,3,3,10,20
FYR Sit-Up,Strength,Core,Intermediate,3,3,10,20
FYR Leg Lift,Strength,Core,Intermediate,3,3,10,20
TBS Toes-to-bar,Strength,Core,Intermediate,3,3,10,20
FYR Mountain Climber,Strength,Core,Intermediate,3,3,10,20
Roman Chair Side Ups,Strength,Core,Intermediate,3,3,10,20
Push-Up Roll Out - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Cross-Body Crunch - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Decline leg lift with twist,Strength,Core,Intermediate,3,3,10,20
Hanging Leg Raise - Variation Gethin,Strength,Core,Intermediate,3,3,10,20
Butterfly crunch,Strength,Core,Intermediate,3,3,10,20
Cross-body mountain climber,Strength,Core,Intermediate,3,3,10,20
Flat Bench Lying Leg Raise - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Lying leg lift,Strength,Core,Intermediate,3,3,10,20
Hanging alternating single-leg raise,Strength,Core,Intermediate,3,3,10,20
Plank Walk,Strength,Core,Intermediate,1,1,30,60
Sit-Up - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Plank Push-Up,Strength,Core,Intermediate,3,3,10,20
Decline crunch-,Strength,Core,Intermediate,3,3,10,20
Alternating lying leg raise,Strength,Core,Intermediate,3,3,10,20
Decline leg lift,Strength,Core,Intermediate,3,3,10,20
Crunch - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Plank - Gethin Variation,Strength,Core,Intermediate,3,3,10,20
Barbell floor wiper,Strength,Core,Intermediate,3,3,10,20
Prison Push-Up,Strength,Core,Intermediate,3,3,10,20
McGill Modified Curl-Up,Strength,Core,Intermediate,3,3,10,20
Cross-body toe-touch,Strength,Core,Intermediate,3,3,10,20
Toy soldier,Strength,Core,Intermediate,3,3,10,20
Natural Glute Ham Raise with Stability Ball,Strength,Core,Intermediate,3,3,10,20
Lateral ape,Strength,Core,Intermediate,3,3,10,20
Hollow-body knee tuck,Strength,Core,Intermediate,3,3,10,20
HM Air Jumping Rope,Strength,Core,Intermediate,3,3,10,20
HM Alternating Lunge Reach,Strength,Core,Intermediate,3,3,10,20
HM Alternating Side Plank Reach,Strength,Core,Intermediate,1,1,30,60
HM Superman Plank,Strength,Core,Intermediate,1,1,30,60
HM Table Pose,Strength,Core,Intermediate,1,1,30,60
HM Toe Touch,Strength,Core,Intermediate,3,3,10,20
HM Right Side Crunch,Strength,Core,Intermediate,3,3,10,20
HM Bicycle,Strength,Core,Intermediate,3,3,10,20
HM Bird-Dog Plank,Strength,Core,Intermediate,1,1,30,60
HM Boat Pose,Strength,Core,Intermediate,1,1,30,60
HM Bottoms Up,Strength,Core,Intermediate,1,1,30,60
HM Bridge,Strength,Core,Intermediate,1,1,30,60
HM Seated Twist,Strength,Core,Intermediate,1,1,30,60
HM Side-Bend Pose,Strength,Core,Intermediate,1,1,30,60
HM Side-Plank Arm Wrap,Strength,Core,Intermediate,1,1,30,60
HM Side-Plank with Hip Touch,Strength,Core,Intermediate,1,1,30,60
HM Side-Plank with Kick,Strength,Core,Intermediate,1,1,30,60
HM Side V-Up,Strength,Core,Intermediate,3,3,10,20
HM Crab Crunch,Strength,Core,Intermediate,3,3,10,20
HM Cross-Over Crunch,Strength,Core,Intermediate,3,3,10,20
HM Crunch Pulse,Strength,Core,Intermediate,3,3,10,20
HM Dead Bug,Strength,Core,Intermediate,3,3,10,20
HM Single-Leg Inchworm,Strength,Core,Intermediate,3,3,10,20
HM Floor Jack,Strength,Core,Intermediate,3,3,10,20
HM Floor Wiper,Strength,Core,Intermediate,3,3,10,20
HM Floor Kick,Strength,Core,Intermediate,3,3,10,20
HM Sit-Up,Strength,Core,Intermediate,3,3,10,20
HM Slow Mountain Climber,Strength,Core,Intermediate,3,3,10,20
HM Slow Sit-Up,Strength,Core,Intermediate,3,3,10,20
HM Half-Up,Strength,Core,Intermediate,3,3,10,20
HM Hollow-Body Pulse,Strength,Core,Intermediate,3,3,10,20
HM Hollow Hold,Strength,Core,Intermediate,3,3,10,20
HM Inchworm,Strength,Core,Intermediate,3,3,10,20
HM Right Side Hollow Hold with Pulse,Strength,Core,Intermediate,3,3,10,20
HM Reverse Crunch with Frisbee,Strength,Core,Intermediate,3,3,10,20
HM Left Side Bird-Dog,Strength,Core,Intermediate,3,3,10,20
HM Left Side Crunch,Strength,Core,Intermediate,3,3,10,20
HM Left Side Hollow Hold With Pulse,Strength,Core,Intermediate,3,3,10,20
HM Reverse Crunch,Strength,Core,Intermediate,3,3,10,20
HM Low Lunge With External Twist And Arm Reach,Strength,Core,Intermediate,3,3,10,20
HM Mountain Climber,Strength,Core,Intermediate,3,3,10,20
HM Prison Sit-Up,Strength,Core,Intermediate,3,3,10,20
HM Plank Alternating Hip-Dip,Strength,Core,Intermediate,1,1,30,60
HM Tuck-Up Get-Up,Strength,Core,Intermediate,3,3,10,20
HM Flutter Kick,Strength,Core,Intermediate,3,3,10,20
HM Plank,Strength,Core,Intermediate,1,1,30,60
McGill Pull-Up,Strength,Core,Intermediate,3,3,10,20
AM Leg Lift,Strength,Core,Intermediate,3,3,10,20
AM Decline Abs,Strength,Core,Intermediate,3,3,10,20
Hanging crunch,Strength,Core,Intermediate,3,3,10,20
Tyler Holt Hanging Toes-To-Bar,Strength,Core,Intermediate,3,3,10,20
Side plank,Strength,Core,Intermediate,3,3,10,20
Bird dog-,Strength,Core,Intermediate,3,3,10,20
Single-leg curl up,Strength,Core,Intermediate,3,3,10,20
Single-kettlebell windmill,Strength,Core,Intermediate,3,3,10,20
UNS Foam Roll Thigh,Strength,Core,Intermediate,3,3,10,20
UNS Inverted row,Strength,Core,Intermediate,3,3,10,20
UNS T-spine rotation with reach,Strength,Core,Intermediate,3,3,10,20
UNS Quadruped thoracic rotation,Strength,Core,Intermediate,3,3,10,20
UNS Pec stretch,Strength,Core,Intermediate,3,3,10,20
UNS Lat stretch,Strength,Core,Intermediate,3,3,10,20
UNS Foam Roll,Strength,Core,Intermediate,3,3,10,20
UNS Foam Roll Lats,Strength,Core,Intermediate,3,3,10,20
UNS Rocking Adductor Stretch,Strength,Core,Intermediate,3,3,10,20
UNS Bird Dog,Strength,Core,Intermediate,3,3,10,20
UNS Jumping Jack,Strength,Core,Intermediate,3,3,10,20
Ab wheel roll-out,Strength,Core,Intermediate,3,3,10,20
Bench mountain climber,Strength,Core,Intermediate,3,3,10,20
Feet-elevated bench side plank,Strength,Core,Intermediate,1,1,30,60
Cross-body sit-up,Strength,Core,Intermediate,3,3,10,20
Decline kayak,Strength,Core,Intermediate,3,3,10,20
30 Decline Reverse Crunch,Strength,Core,Intermediate,3,3,10,20
Decline sit-up twist,Strength,Core,Intermediate,3,3,10,20
30 Flat Bench Leg Raise,Strength,Core,Intermediate,3,3,10,20
30 Flutter Kick,Strength,Core,Intermediate,3,3,10,20
Chin-up crunch,Strength,Core,Intermediate,3,3,10,20
30 Gorilla Chin Oblique Crunch,Strength,Core,Intermediate,3,3,10,20
Half Turkish get-up,Strength,Core,Intermediate,3,3,10,20
30 Hanging Oblique Crunch,Strength,Core,Intermediate,3,3,10,20
30 Hollow-Body Hold,Strength,Core,Intermediate,3,3,10,20
Parallel bars knee raise,Strength,Core,Intermediate,3,3,10,20
30 Landmine Twist,Strength,Core,Intermediate,3,3,10,20
Parallel bars leg raise,Strength,Core,Intermediate,3,3,10,20
Otis-up-,Strength,Core,Intermediate,3,3,10,20
30 Shoulder Tap,Strength,Core,Intermediate,3,3,10,20
30 Spider Crawl,Strength,Core,Intermediate,3,3,10,20
Spider crunch,Strength,Core,Intermediate,3,3,10,20
Toe-touch,Strength,Core,Intermediate,3,3,10,20
30 Hanging Toes-To-Bar,Strength,Core,Intermediate,3,3,10,20
30 V-Up,Strength,Core,Intermediate,3,3,10,20
Cocoon crunch,Strength,Core,Intermediate,3,3,10,20
Bench oblique crunch,Strength,Core,Intermediate,3,3,10,20
Full moon-,Strength,Core,Intermediate,3,3,10,20
Push-up to side plank,Strength,Core,Intermediate,3,3,10,20
Tyler Holt V-Up,Strength,Core,Intermediate,3,3,10,20
Tyler Holt Plank,Strength,Core,Intermediate,3,3,10,20
Tyler Holt Hip-Dip,Strength,Core,Intermediate,3,3,10,20
Suicides,Strength,Core,Intermediate,3,3,10,20
Holman Towel Straight Plank Jack,Strength,Core,Intermediate,1,1,30,60
Holman Towel Hill Climber,Strength,Core,Intermediate,3,3,10,20
Holman Towel Elbow Plank Jack,Strength,Core,Intermediate,1,1,30,60
Holman Towel Elbow Plank Pike,Strength,Core,Intermediate,1,1,30,60
Holman Towel Straight Plank Hand Reach,Strength,Core,Intermediate,1,1,30,60
Holman Towel Wax-On Wax-Off,Strength,Core,Intermediate,3,3,10,20
Holman Towel Wide Hill Climber,Strength,Core,Intermediate,3,3,10,20
Holman Towel Dirty Dog,Strength,Core,Intermediate,1,1,30,60
Holman Straight Plank Shoulder Tap,Strength,Core,Intermediate,1,1,30,60
Holman Killer Abs,Strength,Core,Intermediate,1,1,30,60
Holman Straight Plank Split Jack,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank Swim,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank Saw,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Straight Plank Toe-Tap Series,Strength,Core,Intermediate,3,3,10,20
Holman Elbow Plank Pike Pull,Strength,Core,Intermediate,1,1,30,60
Holman Hand-Elevated Walk-Over Push-Up,Strength,Core,Intermediate,3,3,10,20
Holman Hands-Elevated Hill Climber,Strength,Core,Intermediate,3,3,10,20
Holman Seated Pike,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Up-Down Plank,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Hand Tap,Strength,Core,Intermediate,3,3,10,20
Holman Reverse Straight Plank with Alternating Heel Pull-In,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank,Strength,Core,Intermediate,1,1,30,60
Holman Straight Plank Squat Thrust,Strength,Core,Intermediate,1,1,30,60
Holman Alternating Single-Leg Pike,Strength,Core,Intermediate,1,1,30,60
Holman Knee Pull-In Crunch,Strength,Core,Intermediate,3,3,10,20
Holman Straight Plank with Hand Tap,Strength,Core,Intermediate,1,1,30,60
Holman Straight Plank with Dirty Dog,Strength,Core,Intermediate,1,1,30,60
Holman Elbow Plank Roll,Strength,Core,Intermediate,1,1,30,60
Holman Froggy Push-Up,Strength,Core,Intermediate,3,3,10,20
Holman Straight Plank Hand Tap to Shoulder Tap,Strength,Core,Intermediate,1,1,30,60
Holman In-Out Straight Plank,Strength,Core,Intermediate,1,1,30,60
Holman Bicycle,Strength,Core,Intermediate,3,3,10,20
Holman Alternating Diagonal Knee Pull-in,Strength,Core,Intermediate,3,3,10,20
Holman Elbow Plank with Step-Out,Strength,Core,Intermediate,1,1,30,60
Holman Alternating Slow L-Raise,Strength,Core,Intermediate,3,3,10,20
Holman Feet-Elevated Plank with Shoulder Tap,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Up-Down Elbow Plank,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Plank Pike Pull,Strength,Core,Intermediate,1,1,30,60
Holman Feet-Elevated Alternating Single-Leg Hip Raise,Strength,Core,Intermediate,3,3,10,20
Holman Feet-Elevated Plank Pike Pull to Push-Up,Strength,Core,Intermediate,3,3,10,20
Holman Standing Heel Click,Strength,Core,Intermediate,3,3,10,20
